categorie;vraag;bijlage;antwoord;gedaan
0;Schatting: Hoeveel uren daarvan waren projecturen?;;39158 (72%);
0;Schatting: Hoeveel uren daarvan waren verlof?;;10203 (18,8%);
0;Hoeveel werkplekken hebben in de TAI-NW kantoorruimte? \n A: 32 \n B: 36 \n C: 40 \n D: 44;;C: 40;
0;Wat betekent de afkorting VCA? \n A: Veiligheid Controle Advies \n B: Veel Checken Allemaal \n C: Veiligheid Certificaat Ammendement \n D: Veiligheid Certificaat Accordering \n E: Veiligheid Certificaat Aannemers;;E: Veiligheid Certificaat Aannemers;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2019 - Danny Vera - Roller Coaster.wav;2019 - Danny Vera - Roller Coaster;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1982 - Toto - Africa.wav;1982 - Toto - Africa;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1989 - Rene Froger - Alles Kan Een Mens Gelukkig Maken.wav;1989 - Rene Froger - Alles Kan Een Mens Gelukkig Maken;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1984 - Wham! - Last Christmas.wav;1984 - Wham! - Last Christmas;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1962 - Wim Sonneveld - Aan De Amsterdamse Grachten.wav;1962 - Wim Sonneveld - Aan De Amsterdamse Grachten;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2007 - Enrique Iglesias - Do You Know.wav;2007 - Enrique Iglesias - Do You Know;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1987 - Los Lobos - La Bamba.wav;1987 - Los Lobos - La Bamba;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2009 - Laura Jansen - Wicked World.wav;2009 - Laura Jansen - Wicked World;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2002 - Coldplay - Clocks.wav;2002 - Coldplay - Clocks;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1969 - The Archies - Sugar, Sugar.wav;1969 - The Archies - Sugar, Sugar;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1992 - The Cranberries - Dreams.wav;1992 - The Cranberries - Dreams;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2010 - De Jeugd Van Tegenwoordig - Sterrenstof.wav;2010 - De Jeugd Van Tegenwoordig - Sterrenstof;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2025 - Jan Smit - Tranquilo.wav;2025 - Jan Smit - Tranquilo;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1999 - Zombie Nation - Kernkraft 400.wav;1999 - Zombie Nation - Kernkraft 400;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1961 - Jacques Brel - Marieke.wav;1961 - Jacques Brel - Marieke;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2011 - Gers Pardoel - Bagagedrager.wav;2011 - Gers Pardoel - Bagagedrager;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1984 - Prince - Purple Rain.wav;1984 - Prince - Purple Rain;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1952 - Al Martino  - Here In My Heart.wav;1952 - Al Martino - Here In My Heart;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1987 - De Dijk - Mag het licht uit.wav;1987 - De Dijk - Mag het licht uit;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2012 - Loreen - Euphoria.wav;2012 - Loreen - Euphoria;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2011 - Adele - Set Fire To The Rain.wav;2011 - Adele - Set Fire To The Rain;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2021 - Justin Bieber - Anyone.wav;2021 - Justin Bieber - Anyone;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1961 - Elvis Presley - Can't Help Falling In Love.wav;1961 - Elvis Presley - Can't Help Falling In Love;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1978 - Patrick Hernandez - Born to Be Alive.wav;1978 - Patrick Hernandez - Born to Be Alive;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1994 - Van Dik Hout - Stil In Mij.wav;1994 - Van Dik Hout - Stil In Mij;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1960 - Peter koelewijn  - Kom van dat dak af.wav;1960 - Peter koelewijn - Kom van dat dak af;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1988 - Tina Turner - The Best.wav;1988 - Tina Turner - The Best;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1982 - Andre Hazes - Zeg Maar Niets Meer.wav;1982 - Andre Hazes - Zeg Maar Niets Meer;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1985 - Dire Straits - Walk of Life.wav;1985 - Dire Straits - Walk of Life;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2003 - Guus Meeuwis - Brabant.wav;2003 - Guus Meeuwis - Brabant;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1992 - Metallica - Nothing Else Matters.wav;1992 - Metallica - Nothing Else Matters;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2021 - Mart Hoogkamer - Ik Ga Zwemmen.wav;2021 - Mart Hoogkamer - Ik Ga Zwemmen;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2010 - Justin Bieber - Baby.wav;2010 - Justin Bieber - Baby;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2010 - P!nk - Raise Your Glass.wav;2010 - P!nk - Raise Your Glass;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2014 - Nielson - Sexy als ik dans.wav;2014 - Nielson - Sexy als ik dans;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2021 - Ed Sheeran - Bad Habits.wav;2021 - Ed Sheeran - Bad Habits;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1997 - Aqua - Barbie Girl.wav;1997 - Aqua - Barbie Girl;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1993 - 2 Unlimited - No Limit.wav;1993 - 2 Unlimited - No Limit;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2013 - John Legend - All of Me.wav;2013 - John Legend - All of Me;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2016 - Kinderen voor Kinderen - Niets is cooler dan Kerstmis.wav;2016 - Kinderen voor Kinderen - Niets is cooler dan Kerstmis;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1983 - Doe maar - 1 nacht alleen.wav;1983 - Doe maar - 1 nacht alleen;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1994 - Marco Borsato - Dromen Zijn Bedrog.wav;1994 - Marco Borsato - Dromen Zijn Bedrog;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2003 - Beyonce & JAY Z - Crazy In Love.wav;2003 - Beyonce & JAY Z - Crazy In Love;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1991 - Pearl Jam - Alive.wav;1991 - Pearl Jam - Alive;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2019 - Billie Eilish - bad guy.wav;2019 - Billie Eilish - bad guy;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2013 - Stromae - Papaoutai.wav;2013 - Stromae - Papaoutai;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2019 - Snelle - Reunie.wav;2019 - Snelle - Reunie;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1995 - Oasis - Wonderwall.wav;1995 - Oasis - Wonderwall;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2016 - Pitstop Boys - Super Max.wav;2016 - Pitstop Boys - Super Max;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1977 - Normaal - Oerend Hard.wav;1977 - Normaal - Oerend Hard;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1974 - ABBA - Waterloo.wav;1974 - ABBA - Waterloo;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1973 - David Bowie - Life On Mars.wav;1973 - David Bowie - Life On Mars;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1986 - Cyndi Lauper - True Colors.wav;1986 - Cyndi Lauper - True Colors;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1994 - Mariah Carey - All I Want for Christmas Is You.wav;1994 - Mariah Carey - All I Want for Christmas Is You;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1995 - Technohead - I Wanna Be A Hippy.wav;1995 - Technohead - I Wanna Be A Hippy;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1987 - U2 - With Or Without You.wav;1987 - U2 - With Or Without You;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2020 - Drake - Toosie Slide.wav;2020 - Drake - Toosie Slide;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1994 - Rednex - Cotton Eye Joe.wav;1994 - Rednex - Cotton Eye Joe;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2007 - Alicia Keys - No One.wav;2007 - Alicia Keys - No One;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1989 - Madonna - Dear Jessie.wav;1989 - Madonna - Dear Jessie;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2022 - Fred again - Jungle.wav;2022 - Fred again - Jungle;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1988 - Tracy Chapman - Fast Car.wav;1988 - Tracy Chapman - Fast Car;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1981 - Rick James - Super Freak.wav;1981 - Rick James - Super Freak;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2019 - Tones and I - Dance Monkey.wav;2019 - Tones and I - Dance Monkey;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2017 - Boef - Habiba.wav;2017 - Boef - Habiba;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2003 - 50 Cent - In Da Club.wav;2003 - 50 Cent - In Da Club;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\1987 - Rick Astley - Never Gonna Give You Up.wav;1987 - Rick Astley - Never Gonna Give You Up;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2012 - PSY - Gangnam Style.wav;2012 - PSY - Gangnam Style;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2008 - Lady Gaga - Poker Face.wav;2008 - Lady Gaga - Poker Face;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2024 - Joost Klein - Europapa.wav;2024 - Joost Klein - Europapa;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2019 - Post Malone - Circles.wav;2019 - Post Malone - Circles;
1;\n 1: In welk jaar is dit nummer uitgebracht? \n 2: Van welke artiest is dit nummer? \n 3: Wat is de titel van dit nummer?;C:\Projects\kerstbingo\muziek\2015 - Snollebollekes - Links Rechts.wav;2015 - Snollebollekes - Links Rechts;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb008.png;TIA-portal;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb009.png;Fitness;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb010.png;Visual Studio;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb011.png;Progress 4GL OpenEdge;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb012.png;PSM;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb013.png;SQL;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb014.png;Cape CMS Access;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb015.png;iFix;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb016.png;WinCC-OA;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb017.png;Shrewsoft VPN;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb018.png;Explorer;
2;Welk pakket / applicatie is dit?;q:\00.Afdeling\090.Uitjes\Kerstbingo\Afbeelding\jb019.png;Ignition;
3;Welke collega woont het verste weg van de Paalbergweg? \nA: Timo \nB: Jack \nC: Frank;;Frank;
3;Welke collega woont het dichtbij Paalbergweg?;;Marco;
3;Ken je collega: Welke collega duikt?;;John;
3;Ken je collega: Welke collega schiet boog?;;Albert;
3;Ken je collega: Welke collega zeilt?;;Marco;
3;Ken je collega: Welke collega loopt hard?;;Timo;
3;Ken je collega: Welke collega rijdt motor?;;Jack;
3;Ken je collega: Welke collega basketbalt?;;Geen;
3;Ken je collega: Welke collega spring parachute?;;Geen;
3;Ken je collega: Welke collega korfbalt?;;Martijn;
3;Ken je collega: Welke collega surft?;;Rolf;
3;Ken je collega: Welke collega wielrent?;;Freek;
3;Ken je collega: Welke collega bouwt dingen van hout?;;Matthijs;
3;Ken je collega: Welke collega heeft de meeste auto's?;;Julien;
3;Ken je collega: Welke collega doet aan geocaching?;;Henk;
3;Ken je collega: Welke collega weet het meeste van Formule 1?;;Tom;
3;Ken je collega: Welke collega heeft het meeste zijn jas aan op kantoor?;;Ben;
3;Ken je collega: Welke collega heeft raceauto's op zijn buro staan?;;Erik;
3;Ken je collega: Welke collega is dit jaar in Brazilie op vakantie geweest?;;Marco;
3;Ken je collega: Welke collega is het verste weg, van kantoor gezien, geboren?;;Amanuel;
3;Ken je collega: Welke collega rijdt in een tesla?;;Jur;
3;Ken je collega: Welke collega woont in Zuid-Scharwoude?;;Ben;
3;Ken je collega: Welke collega is het langst in dienst bij TBI?;;Kees;
3;Ken je collega: Welke collega woont in Alphen?;;Timo;
3;Ken je collega: Welke collega woont in Nunspeet?;;Geen;
3;Ken je collega: Welke collega woont in Uithoorn?;;Wim;
3;Ken je collega: Welke collega kan goed stucadoren?;;Iwan;
3;Ken je collega: Welke collega heeft een boot?;;Danny;
3;Ken je collega: Welke collega Teams-t het meest?;;Matthijs;
3;Ken je collega: Welke collega heeft ooit een Porsche gehad?;;Mark;
3;Wie is de Directeur van TAI? ;;Teake Bruinsma;
3;Hoeveel omzet heeft TBI in 2024 gedraaid?;;2,6 miljard;
3;Hoeveel omzet draait CWD in 2025 ongeveer?;;800 miljoen;
3;Hoeveel poppetjes heeft het voetbal spel?;;22;
3;Hoeveel vaste werknemers heeft CWD (per Q3 2025) ;;2600;
3;Hoeveel vaste werknemers heeft TBI ongeveer (per Q1 2025) ;;6540;
3;Hoeveel vaste werknemers heeft TAI ongeveer (per Q3 2025) ;;128;
